id,sub_name,sub_code,lecture,tutorial,practical,credit_hours,contact_hours,sub_type,course_id,branch_id,wef_session,remarks,created_by,created_on,last_updated_by,last_updated_on,action
278,Vocational Training,CHC17212,0,0,0,5,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
279,Safety and Hazard Analysis in Process Industries,CHC18101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
280,Industrial Pollution control & Management,ESE18101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
281,Petroleum Refining and Petrochemicals,CHC18102,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
282,Computer aided process equipment design,CHE18103,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
283,Advanced Separation Technology, CHE18104,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
284,Advance Process Dynamics and Control,CHE18105,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
285,Natural Gas Engineering,PEC16103,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
286,Optimization Techniques,CHE18106,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
287,Clean Coal Technology ,CHE18107,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
288,Applied Catalysis ,CHE18108,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
289,Particulate Science and Technology,CHE18109,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
290,Interfacial Science and Technology,CHE18110,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
291,Green Technologies,CHE18111,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
292,Project,CHC18210,0,0,6,6,6,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
293,Comprehensive Viva-Voce,CHC18212,0,0,0,4,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
294,Excursions,CHC18213,0,0,0,2,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
295,Fluid Mechanics,CHC13101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
296,Chemical Process Calculations,CHC13102,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
297,Chemistry for Chemical Engineers,ACR13101,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
298,Mechanical Engineering-I,MMR13101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
299,Methods of Applied Mathematics-I,AMR13101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
300,Philosophy of Science,HSE13302,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
301,Gandhian Studies,HSE13303,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
302,Oral Communication Skills,HSE13304,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
303,Oral Presentation Skills,HSE13305,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
304,Literary Communication,HSE13306,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
305,Present History Of India,HSE13307,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
306,History of Science and Technology,HSS13301,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
307,Fluid Mechanics Lab,CHC13206,0,0,3,3,3,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
308,Instrumental Methods of Analysis,CHC13207,0,0,3,3,3,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
309,Project Work,CHC13208,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
310,Heat Transfer,CHC14101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
311,Co-Curricular Activity,SWC14701,0,0,0,3,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
312,Project Work,CHC14210,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
313,Chemical Engineering Thermodynamics-I,CHC14102,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
314,Mechanical Operations,CHC14103,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
315,Material Science and Technology,ACR14101,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
316,Numerical and Statistical Methods ,AMR14101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
317,English for Professional Communications (S),HSC14306,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
318,Heat Transfer Lab,CHC14201,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
319,Mechanical Operation Lab,CHC14202,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
320,Comprehensive Viva-Voce,CHC14209,0,0,0,4,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
321,Chemical Reaction Engineering - I,CHC15101,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
322,Chemical Engineering Thermodynamics - II ,CHC15102,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
323,Energy Resources and Utilization ,CHC15103,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
324,Mass Transfer-I,CHC15104,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
325,Chemical Reaction Engineering Lab,CHC15201,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
326,Fuel Analysis Lab,CHC15202,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
327,Plant Visits/Excursions,CHC15601,0,0,0,2,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
328,Project Work,CHC15801,0,0,0,4,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
329,Chemical Reaction Engineering II,CHC16101,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
330,Chemical Process Technology,CHC16102,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
331,Mass Transfer - II,CHC16103,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
332,Process Control and Instrumentation ,CHC16104,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
333,Managerial Economics (S),MSR14151,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
334,Mass Transfer Lab,CHC16203,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
335,Process Control &  Instrumentation Lab,CHC16204,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
336,Project & Seminar,CHC16801,0,0,0,4,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
337,Comprehensive Viva-Voce,CHC16501,0,0,0,3,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
338,Chemical Process Plant Design and Economics,CHC17101,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
339,Transport Phenomena,CHC17102,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
340,Process Equipment Design,   CHC17103,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
341,Corrosion Engineering,AC/CHE17104,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
342,Industrial Engineering & Management,MSC17152,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
343,Industrial Technology Ethics,HSS17101,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
344,Process Simulation Lab,CHC17201,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
345,Projects,CHC17801,0,0,0,6,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
346,Vocational Training,CHC17001,0,0,0,5,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
347,Safety and Hazard Analysis in Process Industries,CHC18101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
348,Industrial Pollution control & Management,ESE18101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
349,Petroleum Refining and Petrochemicals,CHC18102,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
350,Advanced Separation Technology,CHE18103,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
351,Biochemical Engineering,CHE18104,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
352,Clean Coal Technology,CHE18105,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
353,Natural Gas Engineering,PEC16103,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
354,Project,CHC18801,0,0,0,6,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
355,Comprehensive Viva-Voce,CHC18501,0,0,0,4,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
356,Excursions,CHC18601,0,0,0,2,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
357,Chemical Process Calculations,CHC13101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
358,Fluid Mechanics,CHC13102,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
359,Chemical Engineering Thermodynamics-I,CHC13103,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
360,Mechanical Engineering-I,MMR13101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
361,Methods of Applied Mathematics-I,AMR13101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
362,Philosophy of Science,HSE13302,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
363,Gandhian Studies,HSE13303,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
364,Oral Communication Skills,HSE13304,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
365,Oral Presentation Skills,HSE13305,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
366,History of Science and Technology,HSS13301,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
367,"Science, Technology & Society",HSE13308,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
368,Contemporary Indian Philosophy,HSE13309,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
369,Computational tools for chemical engineers Lab,CHC13201,0,0,3,3,3,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
370,Instrumental Methods of Analysis,CHC13202,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
371,Project Work,CHC13601,0,0,0,2,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
372,Chemical Engineering Thermodynamics-II,CHC14101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
373,Co-Curricular Activity,SWC14701,0,0,0,3,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
374,Project Work,CHC14210,0,0,0,2,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
375,Heat Transfer,CHC14102,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
376,Mechanical Operations,CHC14103,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
377,Energy Resources and Utilization,CHC14104,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
378,Numerical and Statistical Methods ,AMR14101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
379,English for Professional Communications (S),HSC14306,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
380,Fluid Mechanics Lab ,CHC14201,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
381,Fuel Analysis Lab,CHC14202,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
382,Comprehensive Viva-Voce,CHC14501,0,0,0,4,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
383,Chemical Reaction Engineering - I,CHC15101,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
384,Chemical Process Technology,CHC15102,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
385,Petroleum Refining and Petrochemicals,CHC15103,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
386,Mass Transfer-I,CHC15104,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
387,Mechanical Operation Lab,CHC15201,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
388,Heat Transfer Lab,CHC15202,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
389,Plant Visits/Excursions,CHC15601,0,0,0,2,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
390,Project Work,CHC15801,0,0,0,4,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
391,Chemical Reaction Engineering II,CHC16101,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
392,Mass Transfer - II,CHC16102,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
393,Process Control and Instrumentation ,CHC16103,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
394,Material Science and Technology,ACR16101,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
395,Managerial Economics (S),MSC14151,3,0,0,6,3,Sessional,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
396,Chemical Reaction Engineering Lab,CHC16201,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
397,Mass Transfer Lab,CHC16202,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
398,Project & Seminar,CHC16801,0,0,0,4,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
399,Comprehensive Viva-Voce,CHC16501,0,0,0,3,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
400,Chemical Process Plant Design and Economics,CHC17101,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
401,Transport Phenomena,CHC17102,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
402,Process Equipment Design,CHC17103,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
403,Multicomponent Separations,CHE17104,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
404,Industrial Engineering & Management,MSC17152,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
405,Industrial Technology Ethics,HSS17101,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
406,Process Control &  Instrumentation Lab,CHC17201,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
407,Equipment Design Lab / CAPD Lab,CHC17202,0,0,2,2,2,Practical,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
408,Projects,CHC17801,0,0,0,6,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
409,Vocational Training,CHC17001,0,0,0,5,0,Non-Contact,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
410,Safety and Hazard Analysis in Process Industries,CHC18101,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
411,Industrial Pollution control & Management,ESE18101,3,0,0,6,3,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
412,Process Optimization,CHC18102,3,1,0,7,4,Theory,b.tech,ce,Monsoon,NA,806,15-05-2019 12:52,806,\N,insert
