sub_name,sub_code,lecture,tutorial,practical,credit_hours,contact_hours,sub_type,course_id,branch_id,wef_year,wef_session,remarks
Open Channel and River Hydraulics Practical,CEC14201,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Structural Analysis-I Practical ,CEC14202,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Environmental Engineering-I Practical,ESC14251,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Geology for Civil Engineering Practical,GLC14251,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Design of Concrete Structure-I,CEC15101,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Geotechnical Engineering-I,CEC15102,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Structural Analysis-II ,CEC15103,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Environmental Engineering-II,ESE15151,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Design of Concrete Structure-I Practical,CEC15201,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Geotechnical Engineering-I Practical,CEC15202,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Environmental Engineering-II Practical,ESE15251,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Project Work,CEC15301,0,0,4,4,4,Practical,b.tech,civ,2019-2020,Monsoon,
Design of Steel Structures-I,CEC16101,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Transportation Engineering -I,CEC16102,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Geotechnical Engineering-II,CEC16103,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Design of Concrete Structure-II,CEC16104,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Design of Steel Structure-I Practical,CEC16201,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Transportation Engineering -I Practical,CEC16202,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Seminar: Paper and Presentation,CEC16501,0,0,0,2,0,Non-Contact,b.tech,civ,2019-2020,Monsoon,
Project Work ,CEC16301,0,0,4,4,4,Practical,b.tech,civ,2019-2020,Monsoon,
Design of Steel Structures-II ,CEC17101,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Transportation Engineering-II,CEC17102,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Water Resources Engineering,CEC17103,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Foundation Engineering,CEC17104,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Design of Steel Structures-II Practical,CEC17201,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Water Resources Engineering Practical,CEC17202,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Seminar: Paper and Presentation,CEC17501,0,0,0,2,0,Non-Contact,b.tech,civ,2019-2020,Monsoon,
Project work,CEC17301,0,0,6,6,6,Practical,b.tech,civ,2019-2020,Monsoon,
Construction Planning and Management,CEC18101,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Finite Element Method,CEC18102,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Industrial Management,MSR16152,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Pre-Stressed Concrete Design,CEE18101,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Ground Improvement,CEE18102,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Hydrology and Hydraulic Structures,CEE18103,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Environmental Impact Assessment,CEE18104,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Finite Element Method Practical,CEC18201,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Seminar: Paper and Presentation,CEC18501,0,0,0,2,0,Non-Contact,b.tech,civ,2019-2020,Monsoon,
Evaluation and credit on Field Visit,CEC18402,0,0,0,6,0,Non-Contact,b.tech,civ,2019-2020,Monsoon,
Project Work,CEC18301,0,0,6,6,6,Practical,b.tech,civ,2019-2020,Monsoon,
Composite Viva-voce,CEC18801,0,0,0,4,0,Non-Contact,b.tech,civ,2019-2020,Monsoon,
Solid Mechanics,CEC13101,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
Project Work,CEC13301,0,0,2,2,2,Practical,b.tech,civ,2019-2020,Monsoon,
Fluid Mechanics,CEC13102,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
"Building Material, Construction and Estimation",CEC13103,3,0,0,6,3,Theory,b.tech,civ,2019-2020,Monsoon,
